PD,Raw_Capacity,Final_Limit,Risk_Haircut_Pct
0.58132595,5991.439,2508.46,58.132595
0.771943,24002.049,5473.836,77.1943
0.17305723,998.53516,825.73145,17.305723
0.27204996,20001.908,14560.39,27.204996
0.6581831,4878.4556,1667.5386,65.81831
0.5922017,11816.603,4818.7905,59.22017
0.6529671,16844.201,5845.492,65.29671
0.7598013,2000.7454,480.5764,75.98013
0.5831144,3698.1147,1541.6908,58.31144
0.6583924,15006.893,5126.4683,65.83924
0.37879804,32017.92,19889.596,37.879803
0.07960137,9992.318,9196.916,7.960137
0.2997301,5004.241,3504.3196,29.97301
0.6636627,12020.139,4042.8213,66.366264
0.45891055,5999.2515,3246.1313,45.891056
0.6720272,13329.527,4371.7227,67.20272
0.48834267,19997.434,10231.834,48.834267
0.67531097,1442.9277,468.5028,67.5311
0.24577634,12024.607,9069.243,24.577635
0.23921312,33995.035,25862.977,23.921312
0.55089724,1437.8607,645.7472,55.089725
0.46273142,35020.73,18815.54,46.273144
0.11638221,17035.666,15053.017,11.638221
0.6498934,9974.489,3492.1345,64.98934
0.03190936,35253.24,34128.332,3.190936
0.7670916,11563.373,2693.207,76.70916
0.54135853,9607.858,4406.5625,54.135853
0.67416817,22579.33,7357.0645,67.41682
0.68135524,23912.271,7619.52,68.13552
0.38173074,6965.382,4306.4814,38.173073
0.54619783,6503.5776,2951.3376,54.61978
0.37735933,25030.143,15584.785,37.73593
0.66171664,7845.995,2654.1697,66.17166
0.542478,5998.6885,2744.5317,54.247803
0.61638975,14036.247,5384.448,61.638977
0.18720904,15999.789,13004.484,18.720903
0.7480149,10004.7705,2521.0527,74.80149
0.5487481,17976.344,8111.86,54.87481
0.7154688,14400.761,4097.4653,71.54688
0.6091957,30031.008,11736.247,60.91957
0.53212523,7252.7764,3393.391,53.212524
0.5574388,19758.053,8744.147,55.743877
0.6421481,8236.205,2947.3418,64.214806
0.54433846,6003.575,2735.5984,54.433846
0.40828893,10000.219,5917.2397,40.82889
0.54450935,5518.163,2513.4717,54.450935
0.68559194,25018.99,7866.1724,68.5592
0.7680383,34976.51,8113.212,76.803825
0.384065,15011.809,9246.298,38.4065
0.5525389,3672.0806,1643.1133,55.253887
0.6597974,17999.08,6123.3345,65.97974
0.49534604,34998.812,17662.29,49.534603
0.14892896,35010.676,29796.572,14.892896
0.49695262,18007.42,9058.585,49.695263
0.21862158,15996.498,12499.317,21.862158
0.5365229,34987.39,16215.854,53.652294
0.20622435,22031.414,17488.0,20.622435
0.47700262,1198.8728,627.0073,47.700264
0.3695866,10000.715,6304.585,36.95866
0.2321465,20003.787,15359.978,23.21465
0.4201034,19024.256,11032.101,42.01034
0.49807724,8486.785,4259.7104,49.807724
0.13236211,25011.285,21700.738,13.236211
0.34161472,16019.831,10547.221,34.161472
0.6110753,15007.568,5836.8145,61.10753
0.04975388,11996.912,11400.019,4.975388
0.50660115,14013.943,6914.4634,50.660114
0.5441435,12008.646,5474.2197,54.41435
0.7829387,34999.453,7597.0264,78.29387
0.47632462,10003.929,5238.811,47.63246
0.6215239,34994.098,13244.429,62.152393
0.4372701,10002.276,5628.58,43.72701
0.26520494,21550.7,15835.348,26.520494
0.11658482,12017.821,10616.726,11.658483
0.45906255,6517.511,3525.5657,45.906254
0.46049565,12004.925,6476.709,46.049564
0.47621742,11237.283,5885.8936,47.621742
0.63553804,2991.9414,1090.4489,63.553802
0.70877993,25014.209,7284.6396,70.87799
0.53912324,20044.74,9238.155,53.912323
0.6738758,7250.5015,2364.564,67.38758
0.6995799,35000.66,10514.902,69.95799
0.76641554,13548.142,3164.6355,76.641556
0.6720813,18465.52,6055.1895,67.20813
0.36426052,23983.791,15247.442,36.426052
0.70723677,16002.382,4684.909,70.72368
0.37335366,34537.68,21642.91,37.335365
0.13563405,3005.0,2597.4197,13.563405
0.41055584,7763.6597,4576.2437,41.055584
0.7051279,12657.026,3732.204,70.51279
0.1341135,3494.558,3025.8906,13.41135
0.56082916,14993.364,6584.6484,56.082916
