feature,mean_abs_shap
funded_amnt,6302.7495
funded_amnt_inv,489.73026
installment,226.17477
term,77.94812
int_rate,34.81199
issue_year,19.823635
annual_inc,13.450969
sub_grade,8.359825
emp_title,8.3574295
fico_range_low,7.1147475
issue_d,6.5963945
verification_status,4.916666
grade,3.2968206
revol_bal,3.283826
earliest_cr_line,2.5048048
dti,2.4484475
total_acc,2.3647645
revol_util,2.0794818
emp_length,1.8992324
purpose,1.520317
addr_state,1.3514942
fico_range_high,1.1778054
inq_last_6mths,1.0812927
open_acc,1.070772
total_rev_hi_lim,0.96996593
initial_list_status,0.84853005
mths_since_last_delinq_is_missing,0.70275503
mths_since_last_delinq,0.5469404
open_acc_6m_is_missing,0.45053673
bc_util,0.44479606
home_ownership,0.3881777
bc_open_to_buy,0.38664323
tot_cur_bal,0.37455663
acc_open_past_24mths,0.37031132
mths_since_last_record,0.35995072
tot_hi_cred_lim,0.35786748
all_util,0.3183106
open_il_12m,0.2828677
avg_cur_bal,0.27742404
num_tl_op_past_12m,0.26085433
mths_since_recent_inq,0.24546841
num_sats,0.24288936
delinq_2yrs,0.23648508
inq_last_12m,0.22667435
il_util_is_missing,0.20184913
mths_since_recent_revol_delinq,0.18706533
mths_since_rcnt_il,0.16662951
total_bal_ex_mort,0.1631535
total_bc_limit,0.1549027
num_bc_sats,0.15258524
total_bal_il,0.14377446
mo_sin_old_rev_tl_op,0.13386431
pct_tl_nvr_dlq,0.12381566
mths_since_last_record_is_missing,0.11821835
total_il_high_credit_limit,0.116490476
mo_sin_old_il_acct,0.11566892
percent_bc_gt_75,0.10795536
mths_since_recent_bc,0.10195743
mths_since_rcnt_il_is_missing,0.08808191
total_cu_tl,0.08472595
mo_sin_rcnt_tl,0.08447204
open_rv_12m,0.07463554
max_bal_bc,0.07343884
num_rev_accts,0.07169131
open_act_il_is_missing,0.0639889
mort_acc,0.056867726
num_op_rev_tl,0.045093242
num_rev_tl_bal_gt_0,0.04474507
mo_sin_rcnt_rev_tl_op,0.03929873
mths_since_last_major_derog_is_missing,0.037775435
open_il_24m,0.03638859
num_il_tl,0.03478017
il_util,0.028646408
open_il_12m_is_missing,0.026818402
open_act_il,0.021701911
open_acc_6m,0.020386886
pub_rec,0.019992903
all_util_is_missing,0.017229047
num_actv_rev_tl,0.01647702
num_bc_tl,0.014845035
num_actv_bc_tl,0.014655644
mths_since_recent_bc_dlq,0.011901481
total_bal_il_is_missing,0.011538647
application_type,0.011261018
open_rv_24m,0.011124981
mths_since_last_major_derog,0.0094562
inq_fi,0.00698704
pub_rec_bankruptcies,0.0043770312
disbursement_method,0.0036494685
tot_coll_amt,0.003512073
num_accts_ever_120_pd,0.0015262619
collections_12_mths_ex_med,0.00115351
num_tl_90g_dpd_24m,0.00034958145
mths_since_recent_bc_dlq_is_missing,0.0003086982
delinq_amnt,0.00019311266
mths_since_recent_revol_delinq_is_missing,7.968967e-05
chargeoff_within_12_mths,5.5168206e-05
tax_liens,1.711763e-05
policy_code,0.0
acc_now_delinq,0.0
pymnt_plan,0.0
num_tl_120dpd_2m,0.0
num_tl_30dpd,0.0
open_il_24m_is_missing,0.0
open_rv_12m_is_missing,0.0
open_rv_24m_is_missing,0.0
inq_fi_is_missing,0.0
max_bal_bc_is_missing,0.0
inq_last_12m_is_missing,0.0
total_cu_tl_is_missing,0.0
