split_seed,model_seed,persona,train_auc,test_auc,auc_gap,training_time,best_iteration
42,42,Specialist,0.7633556961034752,0.7615897366563664,0.001765959447108778,45.99074089999999,999
42,42,Generalist,0.7667290701526464,0.7645648078669561,0.0021642622856902216,30.581649499999912,499
42,42,Conservative,0.7618508604483939,0.7617131622839997,0.00013769816439423987,28.81153949999998,498
123,123,Specialist,0.7635974381849493,0.7610156443809651,0.002581793803984156,46.5801328,999
123,123,Generalist,0.7668924868348728,0.7636738626903077,0.0032186241445650854,30.703703800000085,499
123,123,Conservative,0.7620846407379799,0.7609930489009611,0.0010915918370187905,29.166990199999873,499
2024,2024,Specialist,0.7634563637205157,0.7613731177088455,0.0020832460116702034,46.33779569999979,999
2024,2024,Generalist,0.7668599476421059,0.7642442875620584,0.0026156600800474328,29.753843100000267,499
2024,2024,Conservative,0.7619677230358616,0.7613907175962016,0.0005770054396599944,29.1689394,499
7,7,Specialist,0.763597623775859,0.7605653674810743,0.003032256294784763,45.961321000000225,999
7,7,Generalist,0.7670468347028083,0.7633794175587987,0.0036674171440096437,29.590525799999796,499
7,7,Conservative,0.7621396138570481,0.760405832071879,0.0017337817851691417,28.399863099999948,499
88,88,Specialist,0.7637635831698192,0.7603284197938771,0.003435163375942074,46.031829000000016,999
88,88,Generalist,0.7671980120821015,0.7634113010600314,0.003786711022070066,29.54858129999957,499
88,88,Conservative,0.7622238129996004,0.7601865465849691,0.0020372664146313113,28.551720800000112,499
