dropped_over_90pct_missing,flagged_50_to_90pct_missing,outlier_columns_processed,label_encoded_columns
annual_inc_joint,mths_since_last_delinq,annual_inc,addr_state
dti_joint,mths_since_last_record,dti,application_type
verification_status_joint,mths_since_last_major_derog,,disbursement_method
revol_bal_joint,mths_since_recent_bc_dlq,,earliest_cr_line
sec_app_fico_range_low,mths_since_recent_revol_delinq,,emp_length
sec_app_fico_range_high,,,emp_title
sec_app_earliest_cr_line,,,grade
sec_app_inq_last_6mths,,,home_ownership
sec_app_mort_acc,,,initial_list_status
sec_app_open_acc,,,issue_d
sec_app_revol_util,,,purpose
sec_app_open_act_il,,,pymnt_plan
sec_app_num_rev_accts,,,sub_grade
sec_app_chargeoff_within_12_mths,,,term
sec_app_collections_12_mths_ex_med,,,verification_status
sec_app_mths_since_last_major_derog,,,
hardship_type,,,
hardship_reason,,,
hardship_status,,,
deferral_term,,,
hardship_amount,,,
hardship_start_date,,,
hardship_end_date,,,
payment_plan_start_date,,,
hardship_length,,,
hardship_dpd,,,
hardship_loan_status,,,
orig_projected_additional_accrued_interest,,,
hardship_payoff_balance_amount,,,
hardship_last_payment_amount,,,
debt_settlement_flag_date,,,
settlement_status,,,
settlement_date,,,
settlement_amount,,,
settlement_percentage,,,
settlement_term,,,
