PD,Raw_Capacity,Final_Limit,Risk_Haircut_Pct
0.58132595,5995.5483,2510.1804,58.132595
0.771943,23979.062,5468.5938,77.1943
0.17305723,999.49805,826.5277,17.305723
0.27204996,20002.188,14560.593,27.204996
0.6581831,4877.414,1667.1826,65.81831
0.5922017,11811.615,4816.7563,59.22017
0.6529671,16851.797,5848.128,65.29671
0.7598013,2003.9932,481.3565,75.98013
0.5831144,3688.8252,1537.8181,58.31144
0.6583924,15005.693,5126.0586,65.83924
0.37879804,32013.805,19887.04,37.879803
0.07960137,9995.275,9199.638,7.960137
0.2997301,5000.8887,3501.972,29.97301
0.6636627,12015.67,4041.3184,66.366264
0.45891055,5997.5425,3245.2068,45.891056
0.6720272,13308.059,4364.6816,67.20272
0.48834267,19995.375,10230.78,48.834267
0.67531097,1442.5127,468.36804,67.5311
0.24577634,12020.18,9065.903,24.577635
0.23921312,33982.98,25853.807,23.921312
0.55089724,1439.9131,646.66895,55.089725
0.46273142,35022.223,18816.34,46.273144
0.11638221,17038.521,15055.54,11.638221
0.6498934,9970.064,3490.5854,64.98934
0.03190936,35154.375,34032.62,3.190936
0.7670916,11562.899,2693.0967,76.70916
0.54135853,9606.366,4405.878,54.135853
0.67416817,22587.27,7359.6514,67.41682
0.68135524,23995.002,7645.882,68.13552
0.38173074,6930.3887,4284.846,38.173073
0.54619783,6508.466,2953.556,54.61978
0.37735933,25021.691,15579.522,37.73593
0.66171664,7906.5786,2674.664,66.17166
0.542478,6000.4946,2745.3582,54.247803
0.61638975,14018.74,5377.7324,61.638977
0.18720904,16015.736,13017.446,18.720903
0.7480149,9998.532,2519.481,74.80149
0.5487481,18009.117,8126.649,54.87481
0.7154688,14406.874,4099.2046,71.54688
0.6091957,30046.355,11742.245,60.91957
0.53212523,7242.5347,3388.599,53.212524
0.5574388,19747.76,8739.593,55.743877
0.6421481,8246.723,2951.1055,64.214806
0.54433846,6002.5527,2735.1323,54.433846
0.40828893,10003.726,5919.315,40.82889
0.54450935,5519.5273,2514.093,54.450935
0.68559194,25006.047,7862.103,68.5592
0.7680383,34964.5,8110.426,76.803825
0.384065,15010.745,9245.643,38.4065
0.5525389,3685.5498,1649.1403,55.253887
0.6597974,18001.664,6124.2134,65.97974
0.49534604,34985.508,17655.574,49.534603
0.14892896,35053.45,29832.977,14.892896
0.49695262,17997.408,9053.549,49.695263
0.21862158,16005.742,12506.541,21.862158
0.5365229,34983.766,16214.174,53.652294
0.20622435,22022.992,17481.316,20.622435
0.47700262,1198.2451,626.6791,47.700264
0.3695866,10002.029,6305.4136,36.95866
0.2321465,20004.908,15360.839,23.21465
0.4201034,19037.605,11039.842,42.01034
0.49807724,8477.078,4254.8384,49.807724
0.13236211,24999.03,21690.105,13.236211
0.34161472,16029.931,10553.87,34.161472
0.6110753,15011.092,5838.1846,61.10753
0.04975388,12007.014,11409.618,4.975388
0.50660115,14009.469,6912.256,50.660114
0.5441435,12009.906,5474.794,54.41435
0.7829387,34994.43,7595.9355,78.29387
0.47632462,10002.704,5238.17,47.63246
0.6215239,35000.14,13246.716,62.152393
0.4372701,9998.6,5626.5107,43.72701
0.26520494,21548.43,15833.681,26.520494
0.11658482,12013.209,10612.651,11.658483
0.45906255,6514.2817,3523.8188,45.906254
0.46049565,12007.05,6477.8555,46.049564
0.47621742,11254.527,5894.926,47.621742
0.63553804,2996.2256,1092.0103,63.553802
0.70877993,25030.227,7289.304,70.87799
0.53912324,20030.238,9231.472,53.912323
0.6738758,7244.2217,2362.5159,67.38758
0.6995799,34985.094,10510.226,69.95799
0.76641554,13521.432,3158.3962,76.641556
0.6720813,18477.506,6059.1196,67.20813
0.36426052,23980.812,15245.549,36.426052
0.70723677,16002.674,4684.9946,70.72368
0.37335366,34535.652,21641.64,37.335365
0.13563405,3016.0088,2606.9353,13.563405
0.41055584,7762.4795,4575.5483,41.055584
0.7051279,12651.357,3730.5325,70.51279
0.1341135,3498.4219,3029.2363,13.41135
0.56082916,14992.881,6584.436,56.082916
0.49107873,5997.743,3052.3792,49.107872
0.661442,12027.646,4072.0562,66.144196
0.42456877,24468.582,14079.986,42.45688
0.3853486,6990.2915,4296.593,38.53486
0.47444066,19999.559,10510.954,47.444065
0.46509686,15994.582,8555.553,46.509686
0.58210737,5995.472,2505.4636,58.210735
0.83949983,26580.812,4266.225,83.94998
0.63437325,7508.3438,2745.2512,63.437325
0.1123201,20001.79,17755.186,11.23201
0.37564075,35056.684,21887.965,37.564075
0.68459153,10980.553,3463.3594,68.45915
0.37659466,14991.106,9345.536,37.659466
0.31888887,3003.8496,2045.9553,31.888887
0.65287715,12017.384,4171.5083,65.28771
0.4604273,9801.334,5288.532,46.042732
0.7032435,9999.233,2967.3376,70.32435
0.33509648,20003.637,13300.488,33.509647
0.2759093,20001.076,14482.593,27.59093
0.5049627,4573.9834,2264.2925,50.49627
0.33713862,6001.079,3977.8833,33.713863
0.5277565,20009.336,9449.278,52.77565
0.48787972,13569.899,6949.4204,48.78797
0.16900888,17976.52,14938.329,16.900888
0.5566988,17739.28,7863.8438,55.66988
0.48003104,4205.9688,2186.9734,48.003105
0.17576003,20991.8,17302.281,17.576004
0.34557435,22960.008,15025.617,34.557434
0.4558183,16005.443,8709.869,45.58183
0.5768915,19996.781,8460.809,57.689148
0.14826073,9215.117,7848.8774,14.826073
0.111391634,25917.334,23030.36,11.139163
0.54480803,17931.309,8162.1875,54.480804
0.43953007,40069.266,22457.62,43.953007
0.2532803,15004.308,11204.013,25.328032
0.45676988,1183.2148,642.75793,45.676987
0.29363406,16001.546,11302.947,29.363405
0.39726657,20001.281,12055.44,39.726658
0.23751064,8396.773,6402.4507,23.751064
0.39739123,12006.103,7234.983,39.739124
0.3331146,6503.0884,4336.8145,33.31146
0.5450137,4814.2715,2190.4275,54.501373
0.6025531,13563.438,5390.746,60.255314
0.27162892,15004.301,10928.699,27.162891
0.1581928,9591.207,8073.947,15.81928
0.04614345,3995.3691,3811.009,4.614345
0.43551102,8409.988,4747.3457,43.5511
0.7228253,18016.74,4993.7847,72.28253
0.41041288,14782.08,8715.323,41.041286
0.6191332,8244.508,3140.0596,61.91332
